image,config,CL,Q_BRISQUE,Q_NIQE
104.png,w/o trajectory selection,3.0879055505854636,28.6318359375,3.048293622736089
104.png,w/o QAT (post-quant),3.7086553430719187,28.15435791015625,2.976297763361
104.png,Full (DT--QAT),3.6697814247018328,28.212890625,2.96968163223927
105.png,w/o Rich teacher,0.1,40.00347900390625,4.2436724844461695
105.png,w/o trajectory selection,0.1,40.00347900390625,4.2436724844461695
105.png,w/o QAT (post-quant),0.1,40.00347900390625,4.2436724844461695
105.png,Full (DT--QAT),0.7363109578341305,36.5394287109375,3.895643122979871
106.png,w/o Rich teacher,0.1,37.89312744140625,4.237869157810027
106.png,w/o trajectory selection,0.1,37.89312744140625,4.237869157810027
106.png,w/o QAT (post-quant),0.1,37.89312744140625,4.237869157810027
106.png,Full (DT--QAT),0.7862092874906446,34.3375244140625,3.867430255551345
107.png,w/o Rich teacher,0.1,38.73468017578125,4.306330224524634
107.png,w/o trajectory selection,1.7462675343354663,30.45697021484375,3.4166695453143805
107.png,w/o QAT (post-quant),3.453087070577042,28.5740966796875,3.0230790716461917
107.png,Full (DT--QAT),2.7333842258988783,29.1488037109375,3.1453182976944665
108.png,w/o Rich teacher,0.1,38.25408935546875,4.071345589068348
108.png,w/o trajectory selection,0.1,38.25408935546875,4.071345589068348
108.png,w/o QAT (post-quant),0.1,38.25408935546875,4.071345589068348
108.png,Full (DT--QAT),0.14847160279285787,38.13177490234375,4.013592963599505
109.png,w/o Rich teacher,0.1,32.9609375,4.126961096085553
109.png,w/o trajectory selection,0.1,32.9609375,4.126961096085553
109.png,w/o QAT (post-quant),0.1,32.9609375,4.126961096085553
109.png,Full (DT--QAT),0.1,32.9609375,4.126961096085553
11.png,w/o Rich teacher,1.678866258355614,20.0865478515625,4.487429185779219
11.png,w/o trajectory selection,1.4873694007412783,22.09405517578125,4.601787916503669
11.png,w/o QAT (post-quant),2.343574931325929,22.4844970703125,4.48235225087164
11.png,Full (DT--QAT),2.334251159402003,22.22906494140625,4.5015666603425535
110.png,w/o Rich teacher,0.1,38.27447509765625,4.1039485481430855
110.png,w/o trajectory selection,0.1,38.27447509765625,4.1039485481430855
